=== /home/yugabyte/yb_data/data/yb-data/tserver/logs/initdb.log (0 lines)
=== /home/yugabyte/yb_data/data/yb-data/tserver/logs/postgresql-2026-09-14_170014.log (2583 lines)
9:2026-09-14 17:00:14.231 UTC [410] FATAL:  the database system is starting up
118:2026-09-14 17:00:35.310 UTC [717] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
119:2026-09-14 17:00:35.310 UTC [717] DETAIL:  e5e82e99-b7b2-4193-97a8-8797e151f0b0 conflicts with higher priority transaction (our pri: 18446744072459764783, their pri: 18446744073709551615): 8c36dc08-67be-48c2-824f-a28bca32147b [read committed]
121:2026-09-14 17:00:35.314 UTC [717] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
122:2026-09-14 17:00:35.314 UTC [717] DETAIL:  47be0f91-6d18-49fa-bd30-79de270e82fb conflicts with higher priority transaction (our pri: 18446744070122596249, their pri: 18446744073709551615): 8c36dc08-67be-48c2-824f-a28bca32147b [read committed]
124:2026-09-14 17:00:35.317 UTC [717] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
125:2026-09-14 17:00:35.317 UTC [717] DETAIL:  dc4df6ee-671e-496c-9084-a32498f6155b conflicts with higher priority transaction (our pri: 18446744071699927109, their pri: 18446744073709551615): 8c36dc08-67be-48c2-824f-a28bca32147b [read committed]
127:2026-09-14 17:00:35.319 UTC [717] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
128:2026-09-14 17:00:35.319 UTC [717] DETAIL:  77f42cbc-ddb5-4471-a98a-7012276931b9 conflicts with higher priority transaction (our pri: 18446744073507457127, their pri: 18446744073709551615): 8c36dc08-67be-48c2-824f-a28bca32147b [read committed]
130:2026-09-14 17:00:35.322 UTC [717] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
131:2026-09-14 17:00:35.322 UTC [717] DETAIL:  87f400f2-eb4b-4f86-bdd4-1cde8f7c8188 conflicts with higher priority transaction (our pri: 18446744070253551919, their pri: 18446744073709551615): 8c36dc08-67be-48c2-824f-a28bca32147b [read committed]
397:2026-09-14 17:01:09.037 UTC [1415] FATAL:  connection to client lost
494:2026-09-14 17:01:22.214 UTC [1585] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
495:2026-09-14 17:01:22.214 UTC [1585] DETAIL:  4a9533cd-4adb-4a6e-86e2-8d133a8f2f1a conflicts with higher priority transaction (our pri: 18446744069869849769, their pri: 18446744073709551615): 3475259e-18fd-4c60-affe-6727be3c353d [read committed]
497:2026-09-14 17:01:22.219 UTC [1585] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
498:2026-09-14 17:01:22.219 UTC [1585] DETAIL:  9a115f64-1b31-4846-99f7-970031e2a782 conflicts with higher priority transaction (our pri: 18446744073623600543, their pri: 18446744073709551615): 3475259e-18fd-4c60-affe-6727be3c353d [read committed]
500:2026-09-14 17:01:22.224 UTC [1585] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
501:2026-09-14 17:01:22.224 UTC [1585] DETAIL:  f0b08ecf-73b4-47e2-9e9c-b0714a2cf1f2 conflicts with higher priority transaction (our pri: 18446744072854163724, their pri: 18446744073709551615): 3475259e-18fd-4c60-affe-6727be3c353d [read committed]
503:2026-09-14 17:01:22.230 UTC [1585] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
504:2026-09-14 17:01:22.230 UTC [1585] DETAIL:  6d9138a3-a612-483f-9308-a51c4b28ee07 conflicts with higher priority transaction (our pri: 18446744073283797405, their pri: 18446744073709551615): 3475259e-18fd-4c60-affe-6727be3c353d [read committed]
